Time,PosX,PosY,PosZ
1556456299.001,-5642.513575101984,-14343.815503579895,-21571.834616350156
1556456299.251,-5641.965268914588,-14344.229242523405,-21571.698120251524
1556456299.501,-5641.416972147183,-14344.642987055075,-21571.561595317587
1556456299.751,-5640.868684800516,-14345.056737174138,-21571.42504154851
1556456300.001,-5640.320406875342,-14345.470492879831,-21571.288458944466
1556456300.251,-5639.772138372411,-14345.884254171386,-21571.15184750562
1556456300.501,-5639.223879292473,-14346.298021048031,-21571.01520723214
1556456300.751,-5638.67562963628,-14346.711793509,-21570.878538124205
1556456301.001,-5638.127389404581,-14347.125571553526,-21570.741840181978
1556456301.251,-5637.57915859813,-14347.539355180841,-21570.605113405632
1556456301.501,-5637.030937217674,-14347.953144390181,-21570.468357795336
1556456301.751,-5636.482725263964,-14348.366939180774,-21570.331573351257
1556456302.001,-5635.934522737754,-14348.780739551852,-21570.19476007357
1556456302.251,-5635.38632963979,-14349.19454550265,-21570.05791796244
1556456302.501,-5634.838145970829,-14349.608357032397,-21569.921047018044
1556456302.751,-5634.289971731614,-14350.02217414033,-21569.784147240545
1556456303.001,-5633.741806922897,-14350.435996825676,-21569.647218630114
1556456303.251,-5633.1936515454345,-14350.84982508767,-21569.51026118693
1556456303.501,-5632.645505599972,-14351.263658925542,-21569.37327491115
1556456303.751,-5632.09736908726,-14351.677498338526,-21569.236259802954
1556456304.001,-5631.549242008048,-14352.091343325854,-21569.099215862505
1556456304.251,-5631.001124363087,-14352.505193886756,-21568.962143089982
1556456304.501,-5630.4530161531275,-14352.919050020464,-21568.82504148555
1556456304.751,-5629.904917378923,-14353.332911726215,-21568.687911049376
1556456305.001,-5629.356828041218,-14353.746779003231,-21568.55075178164
1556456305.251,-5628.808748140766,-14354.160651850754,-21568.413563682505
1556456305.501,-5628.260677678314,-14354.57453026801,-21568.276346752144
1556456305.751,-5627.712616654617,-14354.988414254232,-21568.139100990724
1556456306.001,-5627.164565070421,-14355.402303808653,-21568.001826398424
1556456306.251,-5626.616522926481,-14355.8161989305,-21567.864522975407
1556456306.501,-5626.068490223537,-14356.230099619012,-21567.727190721846
1556456306.751,-5625.520466962351,-14356.644005873415,-21567.589829637913
1556456307.001,-5624.972453143664,-14357.057917692942,-21567.45243972378
1556456307.251,-5624.42444876823,-14357.471835076825,-21567.315020979615
1556456307.501,-5623.876453836796,-14357.885758024298,-21567.177573405585
1556456307.751,-5623.328468350115,-14358.299686534585,-21567.040097001867
1556456308.001,-5622.780492308933,-14358.713620606926,-21566.902591768634
1556456308.251,-5622.232525714007,-14359.12756024055,-21566.765057706052
1556456308.501,-5621.684568566077,-14359.541505434685,-21566.627494814293
1556456308.751,-5621.136620865898,-14359.955456188563,-21566.48990309353
1556456309.001,-5620.588682614218,-14360.369412501419,-21566.35228254393
1556456309.251,-5620.040753811791,-14360.78337437248,-21566.214633165666
1556456309.501,-5619.492834459357,-14361.197341800982,-21566.07695495891
1556456309.751,-5618.944924557674,-14361.61131478615,-21565.939247923834
1556456310.001,-5618.397024107488,-14362.025293327224,-21565.801512060607
1556456310.251,-5617.849133109548,-14362.439277423426,-21565.663747369403
1556456310.501,-5617.301251564608,-14362.853267073991,-21565.525953850392
1556456310.751,-5616.75337947341,-14363.267262278152,-21565.388131503747
1556456311.001,-5616.205516836708,-14363.681263035138,-21565.250280329637
1556456311.251,-5615.657663655251,-14364.095269344176,-21565.11240032823
1556456311.501,-5615.109819929787,-14364.509281204506,-21564.974491499706
