EpochId, Time, SatId, Pr, Cp, PrStd, CpStd, 
1,1567044285.496,14,19782212.1736525,103956243.733023,6,1
1,1567044285.496,25,23554056.2340782,123777428.108613,8,2
1,1567044285.496,11,20545946.238395,107969684.701118,6,1
1,1567044285.496,10,22473133.9414862,118097092.607803,6,1
1,1567044285.496,31,19408820.8952646,101994035.908283,5,1
1,1567044285.496,22,20869316.8864373,109669044.901501,7,2
1,1567044285.496,1,19877729.6224465,104458176.846209,5,1
1,1567044285.496,3,22060258.3346223,115927467.569976,7,3
1,1567044285.496,32,20813287.7971196,109374568.715631,5,1
1,1567044285.496,18,19276500.972158,101298687.338177,5,1
2,1567044285.746,14,19782263.8437472,103956515.090716,6,1
2,1567044285.746,25,23553986.6600601,123777036.743693,7,2
2,1567044285.746,11,20545976.1131678,107969841.571246,6,1
2,1567044285.746,10,22473245.2040745,118097677.487724,6,1
2,1567044285.746,31,19408760.3953597,101993717.760391,5,1
2,1567044285.746,22,20869198.5565108,109668422.816047,7,2
2,1567044285.746,1,19877669.3668447,104457860.465574,5,1
2,1567044285.746,3,22060110.1473732,115926686.941294,7,3
2,1567044285.746,32,20813385.762642,109375083.78062,5,1
2,1567044285.746,18,19276537.4780135,101298878.752326,5,1
3,1567044285.996,14,19782315.5487424,103956786.42569,6,1
3,1567044285.996,25,23553908.7622881,123776645.305673,8,3
3,1567044285.996,11,20546006.0577414,107969998.508131,6,1
3,1567044285.996,10,22473356.5539139,118098262.305517,6,1
3,1567044285.996,31,19408699.6860522,101993399.639741,5,1
3,1567044285.996,22,20869080.3836363,109667800.792846,7,2
3,1567044285.996,1,19877609.1286931,104457544.188272,5,1
3,1567044285.996,3,22059964.0192499,115925906.422789,7,3
3,1567044285.996,32,20813483.7107142,109375598.828267,5,1
3,1567044285.996,18,19276573.7919166,101299070.258807,5,1
4,1567044286.246,14,19782367.3409886,103957057.781679,6,1
4,1567044286.246,25,23553833.1155942,123776253.701328,8,3
4,1567044286.246,11,20546036.1244666,107970155.538264,6,1
4,1567044286.246,10,22473467.7816018,118098847.06636,6,1
4,1567044286.246,31,19408639.2733984,101993081.518779,5,1
4,1567044286.246,22,20868962.1584111,109667178.826627,7,2
4,1567044286.246,1,19877548.7858401,104457227.947322,5,1
4,1567044286.246,3,22059817.3850702,115925125.761011,7,3
4,1567044286.246,32,20813581.7634876,109376113.792557,5,1
4,1567044286.246,18,19276610.1756206,101299261.830079,5,1
5,1567044286.496,14,19782419.1157846,103957329.078064,5,1
5,1567044286.496,25,23553760.3830867,123775862.259264,8,2
5,1567044286.496,11,20546065.9817892,107970312.685362,6,1
5,1567044286.496,10,22473579.0441901,118099431.710185,6,1
5,1567044286.496,31,19408578.8083939,101992763.386674,5,1
5,1567044286.496,22,20868843.8982855,109666556.921653,7,2
5,1567044286.496,1,19877488.512788,104456911.811414,5,1
5,1567044286.496,3,22059671.0998949,115924344.791445,7,4
5,1567044286.496,32,20813679.7988109,109376628.706028,5,1
5,1567044286.496,18,19276646.4895238,101299453.418873,5,1
6,1567044286.746,14,19782470.8731305,103957600.406955,5,1
6,1567044286.746,25,23553688.6626918,123775470.709239,8,3
6,1567044286.746,11,20546096.100865,107970469.699525,6,1
6,1567044286.746,10,22473690.2718779,118100016.387246,6,2
6,1567044286.746,31,19408518.622593,101992445.30654,5,1
6,1567044286.746,22,20868725.7952118,109665934.85958,7,2
6,1567044286.746,1,19877428.5538399,104456595.622927,5,1
6,1567044286.746,3,22059524.2563126,115923564.075893,7,4
6,1567044286.746,32,20813777.6945324,109377143.664125,5,1
6,1567044286.746,18,19276682.7859767,101299645.065424,5,1
7,1567044286.996,14,19782522.7002771,103957871.854599,5,1
7,1567044286.996,25,23553615.0925738,123775079.608092,8,3
7,1567044286.996,11,20546126.0105382,107970626.546581,6,1
7,1567044286.996,10,22473801.5519165,118100601.45039,6,1
7,1567044286.996,31,19408458.2273894,101992127.38658,5,1
7,1567044286.996,22,20868607.8142897,109665312.717127,7,2
7,1567044286.996,1,19877368.1935367,104456279.276323,5,1
7,1567044286.996,3,22059376.505319,115922783.510026,7,4
7,1567044286.996,32,20813875.7822063,109377658.874382,5,1
7,1567044286.996,18,19276719.0300789,101299836.520041,5,1
8,1567044287.246,14,19782574.4925234,103958143.398763,5,1
8,1567044287.246,25,23553541.1560012,123774688.948763,8,3
8,1567044287.246,11,20546155.8329603,107970783.135454,6,1
8,1567044287.246,10,22473912.9715567,118101186.793565,6,1
8,1567044287.246,31,19408397.7972853,101991809.613317,5,1
8,1567044287.246,22,20868489.5018134,109664690.324714,7,2
8,1567044287.246,1,19877308.025186,104455962.757352,5,1
8,1567044287.246,3,22059228.6496241,115922003.049707,7,4
