x_Var1,Var2,Var3,Var4
1567043229.06213,37.7986503233426,-122.408209526475,29.3281601397321
1567043229.1156,37.7986504257142,-122.408208576129,29.3259827457368
1567043229.16955,37.7986505278536,-122.408207614394,29.3239280274138
1567043229.22293,37.7986506303734,-122.408206639309,29.3219906492159
1567043229.26842,37.7986507361047,-122.408205652391,29.3200452541932
1567043229.32176,37.7986508464012,-122.408204655452,29.3180822702125
1567043229.41964,37.7986510814694,-122.408202633462,29.3133511627093
1567043229.47303,37.7986512022631,-122.408201608035,29.3105806689709
1567043229.51269,37.798651320195,-122.408200570964,29.3080884739757
1567043229.56631,37.7986514379936,-122.408199520724,29.3055470464751
1567043229.61971,37.7986515561841,-122.408198458607,29.3032450480387
1567043229.66513,37.7986516720535,-122.408197382629,29.3011772064492
1567043229.71855,37.7986517855116,-122.408196294402,29.299459842965
1567043229.77208,37.7986518998204,-122.408195196356,29.2977249482647
1567043229.86994,37.7986521376738,-122.408192975104,29.2935142219067
1567043229.90959,37.7986522601302,-122.408191852823,29.291257340461
1567043229.96304,37.798652382389,-122.408190722866,29.2891601026058
1567043230.01635,37.7986525056913,-122.408189581931,29.2871939372271
1567043230.06176,37.7986526314945,-122.408188431887,29.2854842096567
1567043230.11536,37.7986527594739,-122.408187271858,29.2837892426178
1567043230.16888,37.7986528918853,-122.408186098774,29.2815331108868
1567043230.21415,37.7986530314248,-122.408184913098,29.2785814823583
1567043230.26762,37.798653178248,-122.40818371434,29.2751920539886
1567043230.32112,37.798653328709,-122.408182502152,29.2718839142472
1567043230.37455,37.7986534804065,-122.408181274004,29.2685770308599
1567043230.40539,37.7986536322993,-122.408180030598,29.265336509794
1567043230.45872,37.7986537839316,-122.408178773688,29.2624262571335
1567043230.51221,37.7986539355011,-122.408177504498,29.2598320739344
1567043230.61006,37.7986542399152,-122.408174938233,29.2550427932292
1567043230.66502,37.7986543923516,-122.408173646299,29.2529188105837
1567043230.71857,37.7986545460472,-122.408172349495,29.2508377954364
1567043230.77193,37.7986547022641,-122.408171047751,29.2487395480275
1567043230.82538,37.7986548593641,-122.40816974252,29.2468779953197
1567043230.85611,37.7986550170522,-122.408168431032,29.245084525086
1567043230.90971,37.7986551775405,-122.408167113853,29.2431791862473
1567043230.96312,37.7986553408388,-122.408165790706,29.2409520354122
1567043231.06089,37.7986556746242,-122.40816312246,29.2357279555872
1567043231.11481,37.7986558436539,-122.408161779348,29.2331072213128
1567043231.16829,37.7986560133003,-122.408160431781,29.230518209748
1567043231.22179,37.7986561832455,-122.408159080108,29.2279568100348
1567043231.26721,37.7986563528615,-122.408157721772,29.2254357393831
1567043231.32063,37.7986565217142,-122.408156356069,29.223021873273
1567043231.37412,37.7986566923569,-122.408154984257,29.2206175262108
1567043231.40503,37.7986568655886,-122.408153608752,29.2185181826353
1567043231.45833,37.7986570380075,-122.408152227408,29.2165647642687
1567043231.51176,37.7986572081221,-122.408150840972,29.2147730309516
1567043231.56522,37.7986573800144,-122.40814944959,29.2128484873101
1567043231.61865,37.7986575673439,-122.408148047349,29.2096451194957
1567043231.66411,37.798657765363,-122.408146639274,29.2058278713375
1567043231.71761,37.7986579630178,-122.408145228403,29.2024799501523
1567043231.771,37.7986581624602,-122.40814381697,29.1991511369124
1567043231.82454,37.7986583570785,-122.408142402115,29.1960960924625
1567043231.85525,37.7986585466784,-122.408140985486,29.1934255557135
1567043231.90879,37.7986587236603,-122.408139565358,29.1919792890549
1567043231.96212,37.7986588942835,-122.408138141654,29.190935193561
1567043232.01564,37.7986590716259,-122.40813671968,29.1892123380676
1567043232.0691,37.7986592556684,-122.408135301705,29.186982720159
1567043232.12263,37.7986594452879,-122.408133887219,29.184365763329
1567043232.15348,37.7986596400896,-122.408132475871,29.1813094103709
1567043232.20686,37.7986598393911,-122.408131067569,29.1779733626172
1567043232.26023,37.7986600421407,-122.408129661049,29.1744613721967
1567043232.31486,37.7986602416031,-122.408128254159,29.1709777181968
1567043232.36824,37.7986604366648,-122.40812684885,29.1676484122872
1567043232.42183,37.7986606266953,-122.408125448366,29.164742381312
1567043232.47514,37.7986608122044,-122.408124053662,29.1622022017837
1567043232.50618,37.7986609931178,-122.408122669228,29.1601209975779
1567043232.54565,37.7986611691036,-122.40812129793,29.1583702052012
1567043232.59936,37.7986613435194,-122.408119939706,29.1567530957982
1567043232.65269,37.7986615238856,-122.408118596274,29.1545869857073
1567043232.70635,37.7986617155328,-122.408117272478,29.151335879229
1567043232.75964,37.7986619114777,-122.408115959,29.1481776367873
1567043232.81304,37.7986621117161,-122.408114659217,29.1447091577575
1567043232.86662,37.7986623113564,-122.408113374636,29.1413261573762
1567043232.91996,37.7986625021753,-122.408112102051,29.1384751629084
1567043233.01778,37.7986628473391,-122.408109586263,29.1346705351025
1567043233.07112,37.7986630064068,-122.408108344409,29.133182477206
1567043233.12468,37.7986631645368,-122.408107119034,29.1313147405162
1567043233.1555,37.7986633254118,-122.408105911278,29.1291705984622
1567043233.19515,37.7986634904014,-122.408104722704,29.1267914939672
1567043233.24855,37.798663662944,-122.408103554312,29.1242968244478
1567043233.30203,37.7986638376437,-122.408102404321,29.1218733116984
1567043233.35545,37.7986640098453,-122.408101270247,29.1195098217577
1567043233.39515,37.7986641758869,-122.408100149449,29.117391823791
1567043233.44857,37.7986643364497,-122.40809904028,29.1153485253453
1567043233.50209,37.798664492706,-122.408097942084,29.1132373549044
1567043233.55561,37.7986646457595,-122.408096856899,29.111041883938
1567043233.6091,37.798664795143,-122.408095786132,29.1090234648436
1567043233.66246,37.7986649421987,-122.408094729573,29.1071012346074
1567043233.71595,37.7986650886991,-122.40809368648,29.1053161220625
1567043233.7693,37.7986652324721,-122.408092654992,29.1037299307063
1567043233.82278,37.7986653741298,-122.408091634049,29.102248984389
1567043233.85357,37.7986655156802,-122.408090624295,29.100596270524
1567043233.90708,37.7986656576706,-122.40808962611,29.09870096948
1567043233.96046,37.7986657993656,-122.408088641555,29.0967606985942
1567043234.01496,37.7986659406313,-122.408087673744,29.0949524501339
1567043234.06835,37.7986660812003,-122.408086724421,29.09321075771
1567043234.12183,37.7986662182444,-122.408085793328,29.0915604392067
1567043234.17526,37.7986663511982,-122.4080848798,29.0898503642529
1567043234.20626,37.7986664794135,-122.408083983785,29.0882413154468
1567043234.25966,37.7986666037002,-122.408083104308,29.0865672994405
1567043234.31299,37.7986667249115,-122.408082243557,29.0848577460274
1567043234.41085,37.7986669610214,-122.408080583283,29.0818490171805
1567043234.46489,37.7986670777789,-122.408079784469,29.0803180765361
1567043234.50464,37.7986671945981,-122.408079006329,29.078783378005
1567043234.55807,37.798667309898,-122.408078246573,29.0772511065006
1567043234.61164,37.7986674224794,-122.408077503526,29.0756963165477
1567043234.66524,37.7986675324795,-122.408076775377,29.0740302028134
1567043234.70481,37.7986676382715,-122.408076061743,29.0723901987076
1567043234.7582,37.7986677397117,-122.408075362459,29.070826292038
